0703010E0AAAAAA
0703010E0AAABAB
0703010E0AAACAC
0703010E0AAAEAE
0703010E0AAAFAF
0703010E0BBAAAA
0703010E0BCAAAB
0703010E0BDAAAC
0703010E0BGAAAE
0703010E0BHAAAC
0703010E0BIAAAB
0703010E0BJAAAC
0703010E0BKAAAF
0703010E0BLAAAB
0703010E0BMAAAC
0703010E0BNAAAB
0703010E0BPAAAB
0703010E0BQAAAB
0703010E0BRAAAF
0703010E0BSAAAF
0703010E0BTAAAC
0703010E0BUAAAC
0703010F0AAAAAA
0703010F0AAACAC
0703010F0AAAEAE
0703010F0AAAFAF
0703010F0AAAGAG
0703010F0AAAHAH
0703010F0AAAJAJ
0703010F0BBAAAA
0703010F0BEAAAC
0703010F0BEABAH
0703010F0BFAAAC
0703010F0BIAAAF
0703010F0BJAAAE
0703010F0BJABAG
0703010F0BLAAAJ
0703010F0BMAAAE
0703010F0BNAAAC
0703010F0BNABAC
0703010F0BPAAAC
0703010F0BQAAAA
0703010F0BRAAAE
0703010F0BSAAAC
0703010F0BTAAAA
0703010F0BUAAAA
0703010F0BVAAAJ
0703010F0BWAAAJ
0703010F0BXAAAE
0703010F0BYAAAC
0703010F0BZAAAA
0703010F0CBAAAA
0703010F0CDAAAC
0703010F0CEAAAJ
0703010F0CFAAAJ
0703010F0CGAAAE
0703010F0CHAAAJ
0703010F0CIAAAC
0703010F0CJAAAJ
0703010F0CKAAAE
0703010G0AAAAAA
0703010G0AAABAB
0703010G0AAACAC
0703010G0BBAAAA
0703010G0BCAAAA
0703010G0BDAAAB
0703010G0BFAAAC
0703010G0BGAAAC
0703010G0BHAAAC
0703010M0AAAAAA
0703010M0BBAAAA
0703010P0AAAAAA
0703010P0AAAEAE
0703010P0BBAAAA
0703010P0BBABAE
0703010P0BDAAAB
0703010P0BEAAAF
0703010P0BEAAAF
0703010P0BFAAAC
0703010P0BHAAAD
0703010P0BIAAAA
0703010R0AAAAAA
0703010R0BBAAAA
0703010S0AAAAAA
0703010S0BBAAAA
0703011A0AAAAAA
0703011A0BBAAAA
0703011A0BCAAAA
