021200010AAAAAA
021200010BBAAAA
0212000A0AAAAAA
0212000A0BBAAAA
0212000AAAAAAAA
0212000AAAAABAB
0212000AAAAACAC
0212000AAAAADAD
0212000AABBAAAA
0212000AABBABAB
0212000AABBACAC
0212000AABBADAD
0212000ABAAAAAA
0212000ABBBAAAA
0212000ABBCAAAA
0212000ABBDAAAA
0212000ABBEAAAA
0212000ABBFAAAA
0212000ABBGAAAA
0212000ABBHAAAA
0212000ABBIAAAA
0212000ABBJAAAA
0212000ACAAAAAA
0212000ACAAABAB
0212000ACAAACAC
0212000ACBBAAAA
0212000ACBBABAB
0212000ACBBACAC
0212000ADAAAAAA
0212000ADBBAAAA
0212000AGAAAAAA
0212000AHAAAAAA
0212000AHAAABAB
0212000AHBBAAAA
0212000AHBBABAB
0212000AIAAAAAA
0212000AIAAABAB
0212000AIBBAAAA
0212000AIBBABAB
0212000AJAAAAAA
0212000AJAAABAB
0212000AJBBAAAA
0212000AKAAAAAA
0212000AKBBAAAA
0212000ALAAAAAA
0212000ALBBAAAA
0212000B0AAAAAA
0212000B0AAABAB
0212000B0AAACAC
0212000B0AAADAD
0212000B0AAAFAF
0212000B0AAAGAG
0212000B0AAAHAH
0212000B0AAAIAI
0212000B0AAALAL
0212000B0AAAMAM
0212000B0AAANAN
0212000B0AAAPAP
0212000B0AAAQAQ
0212000B0BBAAAA
0212000B0BBABAB
0212000B0BBACAC
0212000B0BBADAD
0212000B0BBAEAL
0212000B0BBAFAM
0212000D0AAAAAA
0212000D0AAABAB
0212000D0AAACAC
0212000D0BBAAAA
0212000D0BBABAB
0212000D0BFAAAB
0212000F0AAABAB
0212000F0AAAEAE
0212000F0BBAAAB
0212000F0BBACAE
0212000K0AAAAAA
0212000K0AAACAC
0212000K0BBAAAA
0212000K0BBABAA
0212000K0BBACAC
0212000L0AAAAAA
0212000L0BBAAAA
0212000M0AAAAAA
0212000M0AAABAB
0212000M0AAADAD
0212000M0BBAAAA
0212000M0BBABAB
0212000M0BBACAD
0212000M0BCAAAD
0212000M0BEAAAD
0212000M0BGAAAD
0212000P0AAABAB
0212000P0AAACAC
0212000P0AAADAD
0212000P0AAAEAE
0212000P0AAAFAF
0212000P0BBABAB
0212000P0BBACAC
0212000P0BBADAD
0212000P0BCAAAE
0212000P0BDAAAF
0212000Q0AAAAAA
0212000Q0AAABAB
0212000Q0BBAAAA
0212000Q0BBABAB
0212000U0AAABAB
0212000U0AAAVAV
0212000V0AAABAB
0212000V0BBABAB
0212000X0AAAAAA
0212000X0AAABAB
0212000X0AAADAD
0212000X0AAAHAH
0212000X0AAAKAK
0212000X0BBABAB
0212000X0BBACAD
0212000Y0AAAAAA
0212000Y0AAABAB
0212000Y0AAADAD
0212000Y0AAAHAH
0212000Y0AAAKAK
0212000Y0AAALAL
0212000Y0BBAAAA
0212000Y0BBABAB
0212000Y0BBACAD
0212000Y0BBADAH
0212000Y0BBAEAA
0212000Y0BDAAAA
0212000Y0BDABAB
0212000Y0BDACAD
0212000Y0BDADAH
